名称,PLC地址,数剧类型,功能
WCS看门狗心跳,DB1001.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环
WCS-全线启动（系统在线）,DB1001.DBW2,WORD ,收到数值1，PLC完成动作自动清零
WCS-全线停止,DB1001.DBW4,WORD ,收到数值1，PLC完成动作自动清零
WCS-允许进料,DB1001.DBW6,WORD,接收到MES发过来的订单信息或者人工设定好订单，允许上货，
WCS-故障复位,DB1001.DBW8,WORD,收到数值1，PLC完成动作自动清零
WCS上货位写虚拟ID,DB1001.DBW10,INT,当收到DB1000.DBW22为1时，电机01001位置写一次虚拟ID，PLC收到清零，下次为1下一个虚拟ID
WCS上货位写目的地,DB1001.DBW14,INT,当收到DB1000.DBW48为1时，电机01001位置写一次目的地，PLC收到清零，下次为1下一个目的地
WCS执行进货预热柜编号,DB1001.DBW16,WORD ,预热柜编号：1~12  
WCS执行进货灭菌柜进货执行命令,DB1001.DBW18,WORD,"灭菌柜编号：19~33
        
     "
WCS执行出货灭菌柜编号（执行完停止输出）,DB1001.DBW20,WORD,"灭菌柜编号：19~33
        
     "
WCS执行进货解析房,DB1001.DBW22,WORD,解析房编号：1~19
WCS：31~33灭菌出口写虚拟ID,DB1001.DBW24,INT,
WC：31~33灭菌出口写目的地,DB1001.DBW26,INT,
WCS：19~30灭菌出货出口写虚拟ID,DB1001.DBW28,DINT,
WCS：19~30灭菌出货出口写目的地,"DB1001.DBW30
",INT,
WCS执行进货解析房柜编号1,DB1001.DBW32,WORD ,解析柜编号：1~19，用于灭菌柜出货多工位选择应用。PLC不用处理
WCS执行进货解析房柜编号2,"DB1001.DBW34
",WORD ,解析柜编号：1~19，用于灭菌柜出货多工位选择应用。PLC不用处理
WCS修改电机编号,"DB1001.DBW36
",INT,"值为：1001-2043
           
     "
WCS修改目的地,"DB1001.DBW38
",INT,"值为：1001-2043
           
     "
WCS下修改模拟ID,"DB1001.DBW40
",INT,"值为:8位数
          
           "
WCS下发修改命令,"DB1001.DBW42
",INT,"值为（发送2秒）：01修改，PLC修改完清零
          
           "
系统无码模式切换,"DB1001.DBW44
",INT,01：有码模式02：无码模式
手自动动切换,"DB1001.DBW46
",INT,WCS1当前选定电机编号:，写02：手动模式（一直写）
选定电机编号1,"DB1001.DBW48
",INT,WCS1
选定电机编号2,"DB1001.DBW50
",INT,WCS1
选定电机编号3,"DB1001.DBW52
",INT,WCS1
选定电机编号4,"DB1001.DBW54
",INT,WCS1
电机前进,"DB1001.DBW56
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
电机后退,"DB1001.DBW58
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
转盘正转,"DB1001.DBW60
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
转盘反转,"DB1001.DBW62
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
小车左移,"DB1001.DBW64
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
小车右移,"DB1001.DBW66
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
WCS修改目标数量,DB1001.DBW68,INT,值为：0-100修改解析房和灭菌柜每个单元的数量
