名称,PLC地址,数剧类型,功能
WCS看门狗心跳,DB1001.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环
WCS-全线启动（系统在线）,DB1001.DBW2,WORD ,收到数值1，PLC完成动作自动清零
WCS-全线停止,DB1001.DBW4,WORD ,收到数值1，PLC完成动作自动清零
"WCS执行解析出货命令（当有需要出货的时候，解析房输出呼叫RGV，每次只执行一个,）","DB1001.DBW6
",WORD,"BIT 0：  解析1出货
BIT 1：  解析2出货
BIT 2：  解析3出货
BIT 3：  解析4出货
BIT 4：  解析5出货
BIT 5：  解析6出货
BIT 6：  解析7出货
BIT 7：  解析8出货
BIT 8：  解析9出货
BIR 9：  解析10出货
BIT 10：  解析11出货
BIT 11：  解析12出货
BIT 12：  解析13出货
BIT 13：  解析14出货
BIT 14：  备用
BIT 15：  备用
        
     "
WCS修改电机编号,"DB1001.DBW8
",INT,"值为：1001-2043
           
     "
WCS修改目的地,"DB1001.DBW10
",INT,"值为：1001-2043
           
     "
WCS下修改模拟ID,"DB1001.DBW12
",INT,"值为:8位数
          
           "
WCS下发修改命令,"DB1001.DBW14
",INT,"值为（发送2秒）：01修改，PLC修改完清零
          
           "
系统无码模式切换,"DB1001.DBW16
",INT,01：有码模式02：无码模式
手自动动切换,"DB1001.DBW18
",INT,WCS1当前选定电机编号:，写02：手动模式（一直写）
选定电机编号1,"DB1001.DBW20
",INT,WCS1
选定电机编号2,"DB1001.DBW22
",INT,WCS1
选定电机编号3,DB1001.DBW24,INT,WCS1
选定电机编号4,"DB1001.DBW26
",INT,WCS1
电机前进,"DB1001.DBW28
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
电机后退,"DB1001.DBW30
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
转盘正转,"DB1001.DBW32
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
转盘反转,"DB1001.DBW34
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
小车左移,"DB1001.DBW36
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
小车右移,"DB1001.DBW38
",INT,WCS1按钮按下写1前进，松开按钮赋值为0
WCS修改目标数量,DB1001.DBW40,INT,值为：0-100修改解析房和灭菌柜每个单元的数量
