名称,PLC地址,数剧类型,功能
WCS看门狗心跳,DB1001.DBW0,WORD ,高电平1秒持续，低电平1秒持续，一直循环
WCS-全线启动（系统在线）,DB1001.DBW2,WORD ,收到数值1，PLC完成动作自动清零
WCS-全线停止,DB1001.DBW4,WORD ,收到数值1，PLC完成动作自动清零
WCS-故障复位,DB1001.DBW6,WORD,收到数值1，PLC完成动作自动清零
WCS六面扫位写目的地,DB1001.DBW8,INT,"值为：举例：3,101 第一位代表分拣机3，第二位1为分拣方向左（同理2为右），第三位是最后一件货的标识，当为1时执行最后一个，执行完马上呼叫AGV换空托。最后一位为执行标识，用于X光机出来出国不合格，自动到13口。"
WCS写虚拟ID,DB1001.DBB10-39,CHAR,"值为直接货物条码（预留30位）
          
           "
WCS修改电机编号,DB1001.DBW50,INT,"值为：01001-01040
           
     "
WCS修改目的地,DB1001.DBW52,INT,"值为：举例：3,101 第一位代表分拣机3，第二位1为分拣方向左（同理2为右），第三位是最后一件货的标识，当为1时执行最后一个，执行完马上呼叫AGV换空托。最后一位为执行标识，备用。
           
     "
WCS下修改模拟ID,DB1001.DBB54-83,CHAR,"或者直接货物条码
          
           "
WCS下发修改命令,"DB1001.DBW100
",INT,"值为（发送2秒）：01修改，PLC修改完清零给
          
           "
WCS执行完,DB1001.DBW102,WORD,"BIT 0：  分拣口01禁止进货
BIT 1：  分拣口02禁止进货
BIT 2：  分拣口03禁止进货
BIT 3：  分拣口04禁止进货
BIT 4：  分拣口05禁止进货
BIT 5：  分拣口06禁止进货
BIT 6：  分拣口07禁止进货
BIT 7：  分拣口08禁止进货
BIT 8：  分拣口09禁止进货
BIR 9：  分拣口10禁止进货
BIT 10：  分拣口11禁止进货
BIT 11：  分拣口12禁止进货
BIT 12：  分拣口13禁止进货
BIT 13：  分拣口14禁止进货
BIT 14：  分拣口15禁止进货   
        
     "
