序号,大包号,客户来源,创建时间(UTC+08:00),来源仓,计费重,预计件数,实际件数,渠道,状态,目的国,起运港,目的港,MBL提单号,分单号,业务编号,箱号,封号,装箱时间(UTC+08:00),装箱人,仓干交接时间(UTC+08:00),仓干交接人,清关口岸,提单收件人,批次号,车牌号
1,KRV2VDIR00000041,AE海运,2026-05-14 17:23:34,TRAN_STORE_30320880,400.000,1,1,L_AE_EXPRESS_XTWSEA_ACT_V2V,已装箱,韩国,,,,,,*TEST20260515,,2026-05-15 11:04:43,蔡荧琳,,,,,D000486-W260514-0004,
2,KRV2VDIR00000031,AE海运,2026-05-14 17:22:52,TRAN_STORE_30320880,400.000,1,1,L_AE_EXPRESS_XTWSEA_ACT_V2V,已装箱,韩国,,,,,,*TEST20260515,,2026-05-15 11:04:43,蔡荧琳,,,,,D000486-W260514-0003,
3,KRV2VDIR00000021,AE海运,2026-05-14 14:36:59,TRAN_STORE_30320880,400.000,1,1,L_AE_EXPRESS_XTWSEA_ACT_V2V,已装箱,韩国,,,,,,*TEST20260515,,2026-05-15 11:04:43,蔡荧琳,,,,,D000486-W260514-0002,
4,KRRM04321276,AE海运,2026-05-14 11:32:47,威海心怡优选分拨仓,27400.000,43,43,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:24:03,韩龙盼,2026-05-14 11:33:10,崔言芹,,,D001563-W260514-0018,LFCE621
5,KRRM04321451,AE海运,2026-05-14 11:32:46,威海心怡优选分拨仓,6811.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:24:08,韩龙盼,2026-05-14 11:33:12,崔言芹,,,D001563-W260514-0018,LFCE621
6,KRRM04321285,AE海运,2026-05-14 11:32:46,威海心怡优选分拨仓,3370.000,4,4,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:24:01,韩龙盼,2026-05-14 11:33:14,崔言芹,,,D001563-W260514-0018,LFCE621
7,KRRM04320300,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,17850.000,20,20,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:11:22,韩龙盼,2026-05-14 10:35:17,谭业臣,,,D001563-W260514-0013,LFCE621
8,KRRM04320550,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3850.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:02:29,韩龙盼,2026-05-14 10:58:01,崔言芹,,,D001563-W260514-0013,LFCE621
9,KRRM04320345,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,19940.000,11,11,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:01:17,韩龙盼,2026-05-14 10:36:34,谭业臣,,,D001563-W260514-0013,LFCE621
10,KRRM04320444,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5690.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:59:05,韩龙盼,2026-05-14 11:03:47,崔言芹,,,D001563-W260514-0013,LFCE621
11,KRRM04320543,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3890.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:10:17,韩龙盼,2026-05-14 10:47:51,崔言芹,,,D001563-W260514-0013,LFCE621
12,KRRM04320430,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,24740.000,62,62,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:01:07,韩龙盼,2026-05-14 10:36:23,谭业臣,,,D001563-W260514-0013,LFCE621
13,KRRM04320296,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,21120.000,20,20,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:57:52,韩龙盼,2026-05-14 10:36:43,谭业臣,,,D001563-W260514-0013,LFCE621
14,KRRM04320530,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5860.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:07,韩龙盼,2026-05-14 10:58:30,崔言芹,,,D001563-W260514-0013,LFCE621
15,KRRM04320917,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3920.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:10:28,韩龙盼,2026-05-14 10:47:05,谭业臣,,,D001563-W260514-0013,LFCE621
16,KRRM04320531,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,7170.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:49:26,韩龙盼,2026-05-14 11:02:19,谭业臣,,,D001563-W260514-0013,LFEF086
17,KRRM04320525,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,2880.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:14:20,韩龙盼,2026-05-14 10:38:32,崔言芹,,,D001563-W260514-0013,LFCE621
18,KRRM04320526,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3240.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:39:35,韩龙盼,2026-05-14 11:08:29,谭业臣,,,D001563-W260514-0013,LFEF086
19,KRRM04320535,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,5580.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:12:48,韩龙盼,2026-05-14 10:44:41,崔言芹,,,D001563-W260514-0013,LFCE621
20,KRRM04320521,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3570.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:13:05,韩龙盼,2026-05-14 10:44:16,崔言芹,,,D001563-W260514-0013,LFCE621
21,KRRM04320910,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,3540.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:42:14,韩龙盼,2026-05-14 11:04:45,谭业臣,,,D001563-W260514-0013,LFEF086
22,KRRM04320432,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,17810.000,18,18,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:23,韩龙盼,2026-05-14 10:36:28,谭业臣,,,D001563-W260514-0013,LFCE621
23,KRRM04320515,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,24020.000,43,43,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:06:26,韩龙盼,2026-05-14 10:36:14,谭业臣,,,D001563-W260514-0013,LFCE621
24,KRRM04320470,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,25000.000,20,20,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 14:57:39,韩龙盼,2026-05-14 10:36:41,谭业臣,,,D001563-W260514-0013,LFCE621
25,KRRM04320913,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,7950.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:09:51,韩龙盼,2026-05-14 10:52:17,崔言芹,,,D001563-W260514-0013,LFCE621
26,KRRM04320506,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,19130.000,42,42,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:01:02,韩龙盼,2026-05-14 10:36:25,谭业臣,,,D001563-W260514-0013,LFCE621
27,KRRM04320501,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,19900.000,14,14,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,LYGU4031358,,2026-05-14 15:03:18,韩龙盼,2026-05-14 10:36:35,谭业臣,,,D001563-W260514-0013,LFCE621
28,KRRM04320866,AE海运,2026-05-14 10:33:37,威海心怡优选分拨仓,4990.000,1,1,L_AE_EXPRESS_SEA_XTW_CJ,已装箱,韩国,,,,,,CICU9807371,,2026-05-14 13:50:04,韩龙盼,2026-05-14 11:02:06,谭业臣,,,D001563-W260514-0013,LFEF086
